idfabricaciones,idorden_f,cantidad,f_entrega,restantes,idproducto,idmaterial,despachados
1,14495,1,"2018-02-28 00:00:00",0,8540,17684,0
2,14495,60,"2018-02-28 00:00:00",0,8489,17633,0
3,14495,2,"2018-02-28 00:00:00",0,8537,17681,0
4,14495,4,"2018-02-28 00:00:00",0,8539,17683,0
5,14495,64,"2018-02-28 00:00:00",0,8488,17632,0
6,14495,49,"2018-02-28 00:00:00",0,9158,2705,0
7,14495,1,"2018-02-28 00:00:00",0,7798,16942,0
8,14495,4,"2018-02-28 00:00:00",0,7798,16942,0
9,14495,1,"2018-02-28 00:00:00",0,8737,17881,0
10,14495,1,"2018-02-28 00:00:00",0,8737,17881,0
11,14495,0,"2018-02-28 00:00:00",0,8738,17882,0
12,14495,2,"2018-02-28 00:00:00",0,8739,17883,0
13,14495,136,"2018-02-28 00:00:00",0,7881,17025,0
14,14495,52,"2018-02-28 00:00:00",0,8543,17687,0
15,14495,3,"2018-02-28 00:00:00",0,8465,17609,0
16,14495,22,"2018-02-28 00:00:00",0,8471,17615,0
17,14495,21,"2018-02-28 00:00:00",0,8546,17690,0
18,14495,1,"2018-02-28 00:00:00",0,9148,2738,0
19,14495,1,"2018-02-28 00:00:00",0,9149,2736,0
20,14495,3,"2018-02-28 00:00:00",0,9150,2735,0
21,14495,3,"2018-02-28 00:00:00",0,7673,16817,0
22,14495,1,"2018-02-28 00:00:00",0,7677,16821,0
23,14495,1,"2018-02-28 00:00:00",0,7678,16822,0
24,14495,4,"2018-02-28 00:00:00",0,7678,16822,0
25,14495,2,"2018-02-28 00:00:00",0,9147,2577,0
26,14495,2,"2018-02-28 00:00:00",0,9151,2578,0
27,14495,5,"2018-02-28 00:00:00",0,7726,16870,0
28,14495,5,"2018-02-28 00:00:00",0,7727,16871,0
29,14495,3,"2018-02-28 00:00:00",0,9152,2513,0
30,14495,5,"2018-02-28 00:00:00",0,9153,2512,0
31,14495,2,"2018-02-28 00:00:00",0,9116,18260,0
32,14495,1,"2018-02-28 00:00:00",0,9154,2521,0
33,14495,1,"2018-02-28 00:00:00",0,9154,2521,0
34,14495,6,"2018-02-28 00:00:00",0,8480,17624,0
35,14495,1,"2018-02-28 00:00:00",0,7732,16876,0
36,14495,5,"2018-02-28 00:00:00",0,7735,16879,0
37,14495,2,"2018-02-28 00:00:00",0,7730,16874,0
38,14495,1,"2018-02-28 00:00:00",0,9155,2739,0
39,14495,4,"2018-02-28 00:00:00",0,9156,2737,0
40,14495,2,"2018-02-28 00:00:00",0,7739,16883,0
41,14495,2,"2018-02-28 00:00:00",0,7748,16892,0
42,14495,1,"2018-02-28 00:00:00",0,7759,16903,0
43,14495,5,"2018-02-28 00:00:00",0,9157,2703,0
44,14495,5,"2018-02-28 00:00:00",0,9157,2703,0
45,14495,1,"2018-02-28 00:00:00",0,8751,17895,0
46,14495,0,"2018-02-28 00:00:00",0,8752,17896,0
47,14495,2,"2018-02-28 00:00:00",0,8753,17897,0
48,14495,2,"2018-02-28 00:00:00",0,9117,18261,0
49,14495,1,"2018-02-28 00:00:00",0,9118,18262,0
50,14495,9,"2018-02-28 00:00:00",0,8517,17661,0
51,14495,10,"2018-02-28 00:00:00",0,8518,17662,0
52,14495,26,"2018-02-28 00:00:00",0,8535,17679,0
53,14495,11,"2018-02-28 00:00:00",0,8545,17689,0
54,14495,2,"2018-02-28 00:00:00",0,7657,16801,0
55,14495,2,"2018-02-28 00:00:00",0,7661,16805,0
56,14495,56,"2018-02-28 00:00:00",0,9063,18207,0
57,14495,1,"2018-02-28 00:00:00",0,8463,17607,0
58,14495,9,"2018-02-28 00:00:00",0,8463,17607,0
59,14495,2,"2018-02-28 00:00:00",0,8894,18038,0
60,14495,2,"2018-02-28 00:00:00",0,8895,18039,0
61,14495,8,"2018-02-28 00:00:00",0,9159,2740,0
12806,14433,3,"2017-12-31 00:00:00",1,8979,18123,2
