idfabricaciones,idorden_f,cantidad,f_entrega,restantes,idproducto,idmaterial,despachados
13403,14497,144,"2018-02-01 00:00:00",78,8481,17625,16
13416,14497,288,"2018-02-03 00:00:00",0,8482,17626,288
13404,14498,60,"2018-02-22 00:00:00",60,7815,16959,0
13405,14498,70,"2018-02-22 00:00:00",70,7817,16961,0
13406,14499,5,"2018-02-01 00:00:00",5,7660,16804,0
13407,14499,1,"2018-02-01 00:00:00",1,7665,16809,0
13408,14500,1,"2018-02-01 00:00:00",0,7667,16811,1
13409,14501,1,"2018-02-12 00:00:00",1,9124,2699,0
13410,14502,5,"2018-03-02 00:00:00",5,7667,16811,0
13411,14503,3,"2018-02-05 00:00:00",3,7665,16809,0
13413,14505,4,"2018-02-05 00:00:00",4,7792,16936,0
13414,14505,4,"2018-02-05 00:00:00",4,7799,16943,0
13415,14506,8,"2018-03-01 00:00:00",8,7701,16845,0
