idmaterial,u_medida,f_aprov,leadtime,precio,abc,tipo,especificacion,idproducto,estado,detalle,caracteristica,stock,codigo
1,,,0,0,,I,4,0,fin,"CODO C 60x60 ",99,0,I04000099001
2,,,0,0,,I,4,0,fin,"CANAL CD 60x300 ",99,0,I04000099002
3,,,0,0,,I,4,0,fin,"CANAL BAJADA 60x100",99,0,I04000099003
4,,,0,0,,I,4,0,fin,"MONTANTE ND 220 ",99,0,I04000099004
5,,,0,0,,I,4,0,fin,"CANAL CD 50x300 ",99,0,I04000099005
6,,,0,0,,I,4,0,fin,"MONTANTE ND 110",99,0,I04000099006
7,,,0,0,,I,4,0,fin,"MONTANTE ND 200",99,0,I04000099007
8,,,0,0,,I,4,0,fin,"PINTURA MAGNESITA",99,0,I04000099008
9,,,0,0,,I,4,0,fin,"MONTANTE ND 180",99,0,I04000099009
10,,,0,0,,I,4,0,fin,"MONTANTE ND 240",99,0,I04000099010
11,,,0,0,,I,4,0,fin,"MANGA ND 110 NES",99,0,I040000990100
12,,,0,0,,I,4,0,fin,"MANGA ND 120",99,0,I040000990101
13,,,0,0,,I,4,0,fin,"MANGA ND 120 F",99,0,I040000990102
14,,,0,0,,I,4,0,fin,"MANGA ND 120 PASADA 72",99,0,I040000990103
15,,,0,0,,I,4,0,fin,"MANGA ND 120 W",99,0,I040000990104
16,,,0,0,,I,4,0,fin,"MANGA ND 130",99,0,I040000990105
17,,,0,0,,I,4,0,fin,"MANGA ND 130 GALLETA RECTA",99,0,I040000990106
18,,,0,0,,I,4,0,fin,"MANGA ND 130 S 93-45",99,0,I040000990107
19,,,0,0,,I,4,0,fin,"MANGA ND 140",99,0,I040000990108
20,,,0,0,,I,4,0,fin,"MANGA ND 140 F",99,0,I040000990109
21,,,0,0,,I,4,0,fin,"BOCAL BA 60 ",99,0,I04000099011
22,,,0,0,,I,4,0,fin,"MANGA ND 140 PASADA 78",99,0,I040000990110
23,,,0,0,,I,4,0,fin,"MANGA ND 140 S 94-46",99,0,I040000990111
24,,,0,0,,I,4,0,fin,"MANGA ND 150",99,0,I040000990112
25,,,0,0,,I,4,0,fin,"MANGA ND 150 PASADA 78",99,0,I040000990113
26,,,0,0,,I,4,0,fin,"MANGA ND 160",99,0,I040000990114
27,,,0,0,,I,4,0,fin,"MANGA ND 160 F",99,0,I040000990115
28,,,0,0,,I,4,0,fin,"MANGA ND 160 GALLETA 150",99,0,I040000990116
29,,,0,0,,I,4,0,fin,"MANGA ND 160 S 21-22-23",99,0,I040000990117
30,,,0,0,,I,4,0,fin,"MANGA ND 160 S 21-22-23 GALLETA CROMITA",99,0,I040000990118
31,,,0,0,,I,4,0,fin,"MANGA ND 160 S 88-89 GALLETA FORMA",99,0,I040000990119
32,,,0,0,,I,4,0,fin,"CANAL CD 60x50 ",99,0,I04000099012
33,,,0,0,,I,4,0,fin,"MANGA ND 180",99,0,I040000990120
34,,,0,0,,I,4,0,fin,"MANGA ND 200",99,0,I040000990121
35,,,0,0,,I,4,0,fin,"MANGA ND 220",99,0,I040000990122
36,,,0,0,,I,4,0,fin,"MANGA ND 220 F",99,0,I040000990123
37,,,0,0,,I,4,0,fin,"MANGA ND 230",99,0,I040000990124
38,,,0,0,,I,4,0,fin,"MANGA ND 240",99,0,I040000990125
