idordenproduccion,f_gen
1,"2018-01-30"
14433,"2017-02-03 00:00:00"
14434,"2017-02-27 00:00:00"
14435,"2017-03-14 00:00:00"
14436,"2017-05-03 00:00:00"
14437,"2017-09-14 00:00:00"
14438,"2017-12-01 00:00:00"
14439,"2017-08-21 00:00:00"
14440,"2017-09-07 00:00:00"
14441,"2017-09-07 00:00:00"
14442,"2017-09-07 00:00:00"
14443,"2017-10-04 00:00:00"
14444,"2017-10-04 00:00:00"
14445,"2017-10-04 00:00:00"
14446,"2017-10-04 00:00:00"
14447,"2017-10-12 00:00:00"
14448,"2017-10-24 00:00:00"
14449,"2017-10-31 00:00:00"
14450,"2017-11-06 00:00:00"
14451,"2017-11-08 00:00:00"
14452,"2017-11-10 00:00:00"
14453,"2017-11-13 00:00:00"
14454,"2017-11-15 00:00:00"
14455,"2017-11-17 00:00:00"
14456,"2017-11-20 00:00:00"
14457,"2017-11-27 00:00:00"
14458,"2017-11-29 00:00:00"
14459,"2017-11-28 00:00:00"
14460,"2017-11-28 00:00:00"
14461,"2017-11-30 00:00:00"
14462,"2017-12-14 00:00:00"
14463,"2017-12-04 00:00:00"
14464,"2017-12-04 00:00:00"
14465,"2017-12-14 00:00:00"
14466,"2017-12-14 00:00:00"
14467,"2017-12-14 00:00:00"
14468,"2017-12-14 00:00:00"
14469,"2017-12-19 00:00:00"
14470,"2017-12-21 00:00:00"
14471,"2017-12-21 00:00:00"
14472,"2017-12-26 00:00:00"
14473,"2017-12-26 00:00:00"
14474,"2017-12-27 00:00:00"
14475,"2017-12-27 00:00:00"
14476,"2017-12-29 00:00:00"
14477,"2017-12-29 00:00:00"
14478,"2017-12-29 00:00:00"
14479,"2018-01-02 00:00:00"
14480,"2018-01-02 00:00:00"
14481,"2018-01-03 00:00:00"
14482,"2018-01-05 00:00:00"
14483,"2018-01-08 00:00:00"
14484,"2018-01-09 00:00:00"
14485,"2018-01-10 00:00:00"
14486,"2018-01-10 00:00:00"
14487,"2018-01-10 00:00:00"
14488,"2018-01-11 00:00:00"
14489,"2018-01-11 00:00:00"
14490,"2018-01-15 00:00:00"
14491,"2018-01-16 00:00:00"
14492,"2018-01-17 00:00:00"
14493,"2018-01-18 00:00:00"
14494,"2018-01-19 00:00:00"
14495,"2018-01-29 14:23:30"
14496,"2018-01-30 01:04:44"
14497,"2018-01-30 01:05:40"
14498,"2018-01-30 01:06:03"
14499,"2018-01-30 01:10:34"
14500,"2018-01-30 01:10:53"
14501,"2018-01-30 01:12:37"
14502,"2018-01-30 01:18:02"
14503,"2018-01-30 01:18:23"
