idproducto,idmaterial,pdf,idsubaleacion,ruta
7626,16770,,1,"1,2,3,4,5,7,8"
7627,16771,,99,"1,2,3,4,5,7,8"
7628,16772,,1,"1,2,3,4,5,7,8"
7629,16773,,1,"1,2,3,4,5,7,8"
7630,16774,,1,"1,2,3,4,5,7,8"
7631,16775,,1,"1,2,3,4,5,7,8"
7632,16776,,1,"1,2,3,4,5,7,8"
7633,16777,,1,"1,2,3,4,5,7,8"
7634,16778,,1,"1,2,3,4,5,7,8"
7635,16779,,1,"1,2,3,4,5,7,8"
7636,16780,,1,"1,2,3,4,5,7,8"
7637,16781,,1,"1,2,3,4,5,7,8"
7638,16782,,1,"1,2,3,4,5,7,8"
7639,16783,,1,"1,2,3,4,5,7,8"
7640,16784,,1,"1,2,3,4,5,7,8"
7641,16785,,1,"1,2,3,4,5,7,8"
7642,16786,,1,"1,2,3,4,5,7,8"
7643,16787,,1,"1,2,3,4,5,7,8"
7644,16788,,1,"1,2,3,4,5,7,8"
7645,16789,,1,"1,2,3,4,5,7,8"
7646,16790,,1,"1,2,3,4,5,7,8"
7647,16791,,1,"1,2,3,4,5,7,8"
7648,16792,,1,"1,2,3,4,5,7,8"
7649,16793,,1,"1,2,3,4,5,7,8"
7650,16794,,1,"1,2,3,4,5,7,8"
7651,16795,,1,"1,2,3,4,5,7,8"
7652,16796,,1,"1,2,3,4,5,7,8"
7653,16797,,1,"1,2,3,4,5,7,8"
7654,16798,,1,"1,2,3,4,5,7,8"
7655,16799,,1,"1,2,3,4,5,7,8"
7656,16800,,1,"1,2,3,4,5,7,8"
7657,16801,,1,"1,2,3,4,5,7,8"
7658,16802,,1,"1,2,3,4,5,7,8"
7659,16803,,1,"1,2,3,4,5,7,8"
7660,16804,,1,"1,2,3,4,5,7,8"
7661,16805,,1,"1,2,3,4,5,7,8"
7662,16806,,1,"1,2,3,4,5,7,8"
7663,16807,,1,"1,2,3,4,5,7,8"
7664,16808,,1,"1,2,3,4,5,6,7,8"
7665,16809,,1,"1,2,3,4,5,6,7,8"
7666,16810,,1,"1,2,3,4,5,6,7,8"
7667,16811,,1,"1,2,3,4,5,6,7,8"
7668,16812,,1,"1,2,3,4,5,6,7,8"
7669,16813,,1,"1,2,3,4,5,6,7,8"
7670,16814,,2,"1,2,3,4,5,6,7,8"
7671,16815,,2,"1,2,3,4,5,6,7,8"
7672,16816,,2,"1,2,3,4,5,6,7,8"
7673,16817,,2,"1,2,4,5,3,6,7,8"
7674,16818,,2,"1,2,4,5,3,7,8"
7675,16819,,2,"1,2,4,5,3,7,8"
7676,16820,,2,"1,2,3,4,5,6,7,8"
7677,16821,,2,"1,2,4,5,3,6,7,8"
7678,16822,,2,"1,2,4,5,3,6,7,8"
7679,16823,,2,"1,2,4,5,3,6,7,8"
7680,16824,,2,"1,2,3,4,5,6,7,8"
7681,16825,,2,"1,2,3,4,5,7,8"
7682,16826,,2,"1,2,3,4,5,7,8"
7683,16827,,2,"1,2,3,4,5,7,8"
7684,16828,,2,"1,2,3,4,5,7,8"
7685,16829,,2,"1,2,3,4,5,7,8"
7686,16830,,2,"1,2,3,4,5,7,8"
7687,16831,,2,"1,2,3,4,5,7,8"
7688,16832,,2,"1,2,3,4,5,7,8"
7689,16833,,2,"1,2,3,4,5,7,8"
7690,16834,,2,"1,2,3,4,5,7,8"
7691,16835,,2,"1,2,3,4,5,7,8"
7692,16836,,2,"1,2,3,4,5,7,8"
7693,16837,,2,"1,2,3,4,5,7,8"
7694,16838,,2,"1,2,3,4,5,7,8"
7695,16839,,2,"1,2,3,4,5,7,8"
7696,16840,,2,"1,2,3,4,5,7,8"
7697,16841,,2,"1,2,3,4,5,7,8"
7698,16842,,2,"1,2,3,4,5,7,8"
7699,16843,,2,"1,2,3,4,5,7,8"
7700,16844,,2,"1,2,3,4,5,7,8"
7701,16845,,2,"1,2,3,4,5,7,8"
7702,16846,,2,"1,2,3,4,5,7,8"
7703,16847,,2,"1,2,3,4,5,7,8"
7704,16848,,2,"1,2,3,4,5,7,8"
7705,16849,,2,"1,2,3,4,5,7,8"
7706,16850,,2,"1,2,3,4,5,7,8"
7707,16851,,2,"1,2,3,4,5,7,8"
7708,16852,,2,"1,2,3,4,5,7,8"
7709,16853,,2,"1,2,3,4,5,7,8"
7710,16854,,2,"1,2,3,4,5,7,8"
7711,16855,,2,"1,2,3,4,5,7,8"
7712,16856,,2,"1,2,3,4,5,6,7,8"
7713,16857,,2,"1,2,3,4,5,6,7,8"
7714,16858,,2,"1,2,3,4,5,7,8"
7715,16859,,2,"1,2,3,4,5,7,8"
7716,16860,,2,"1,2,3,4,5,7,8"
7717,16861,,2,"1,2,3,4,5,7,8"
7718,16862,,2,"1,2,3,4,5,7,8"
7719,16863,,2,"1,2,3,4,5,7,8"
7720,16864,,2,"1,2,3,4,5,7,8"
7721,16865,,2,"1,2,3,4,5,7,8"
7722,16866,,2,"1,2,3,4,5,7,8"
7723,16867,,2,"1,2,3,4,5,7,8"
7724,16868,,2,"1,2,3,4,5,7,8"
7725,16869,,2,"1,2,3,4,5,7,8"
7726,16870,,2,"1,2,3,4,5,7,8"
7727,16871,,2,"1,2,3,4,5,7,8"
7728,16872,,2,"1,2,3,4,6,5,6,7,8"
7729,16873,,2,"1,2,3,4,6,5,6,7,8"
7730,16874,,2,"1,2,4,5,3,6,7,8"
7731,16875,,2,"1,2,3,4,5,6,7,8"
7732,16876,,2,"1,2,4,5,3,6,7,8"
7733,16877,,2,"1,2,4,5,3,7,8"
7734,16878,,2,"1,2,3,4,5,6,7,8"
7735,16879,,2,"1,2,4,5,3,7,8"
7736,16880,,2,"1,2,4,5,3,6,7,8"
7737,16881,,2,"1,2,3,4,5,6,7,8"
7738,16882,,2,"1,2,4,5,3,6,7,8"
7739,16883,,2,"1,2,3,4,5,6,7,8"
7740,16884,,2,"1,2,4,5,3,7,8"
7741,16885,,2,"1,2,4,5,3,6,7,8"
7742,16886,,2,"1,2,3,4,5,6,7,8"
7743,16887,,2,"1,2,3,4,7,8"
7744,16888,,2,"1,2,3,4,5,6,7,8"
7745,16889,,2,"1,2,3,4,5,6,7,8"
7746,16890,,2,"1,2,3,4,5,6,7,8"
7747,16891,,2,"1,2,3,4,5,6,7,8"
7748,16892,,2,"1,2,3,4,5,7,8"
7749,16893,,2,"1,2,3,4,5,6,7,8"
7750,16894,,2,"1,2,3,4,5,7,8"
7751,16895,,2,"1,2,3,4,5,7,8"
7752,16896,,2,"1,2,3,4,5,7,8"
7753,16897,,2,"1,2,4,5,3,7,8"
7754,16898,,2,"1,2,3,4,5,6,7,8"
7755,16899,,2,"1,2,3,4,5,7,8"
7756,16900,,2,"1,2,3,4,5,7,8"
7757,16901,,2,"1,2,3,4,5,7,8"
7758,16902,,2,"1,2,3,4,5,7,8"
7759,16903,,2,"1,2,3,4,5,7,8"
7760,16904,,2,"1,2,4,5,3,7,8"
7761,16905,,2,"1,2,3,4,5,7,8"
7762,16906,,2,"1,2,3,4,7"
7763,16907,,2,"1,2,3,4,5,7,8"
7764,16908,,2,"1,2,3,4,5,7,8"
7765,16909,,2,"1,2,3,4,5,7,8"
7766,16910,,2,"1,2,3,4,5,7,8"
7767,16911,,2,"1,2,3,4,5,7,8"
7768,16912,,2,"1,2,3,4,5,7,8"
7769,16913,,2,"1,2,3,4,5,7,8"
7770,16914,,2,"1,2,3,4,5,7,8"
7771,16915,,2,"1,2,3,4,5,7,8"
7772,16916,,2,"1,2,3,4,5,7,8"
7773,16917,,2,"1,2,3,4,5,7,8"
7774,16918,,2,"1,2,3,4,5,7,8"
7775,16919,,2,"1,2,3,4,5,7,8"
7776,16920,,2,"1,2,3,4,5,7,8"
