codigo,detalle
I04000099001,"CODO C 60X60 "
I04000099002,"CANAL CD 60X300 "
I04000099003,"CANAL BAJADA 60X100"
I04000099004,"MONTANTE ND 220 "
I04000099005,"CANAL CD 50X300 "
I04000099006,"MONTANTE ND 110"
I04000099007,"MONTANTE ND 200"
I04000099008,"PINTURA MAGNESITA"
I04000099009,"MONTANTE ND 180"
I04000099010,"MONTANTE ND 240"
I040000990100,"MANGA ND 110 NES"
I040000990101,"MANGA ND 120"
I040000990102,"MANGA ND 120 F"
I040000990103,"MANGA ND 120 PASADA 72"
I040000990104,"MANGA ND 120 W"
I040000990105,"MANGA ND 130"
I040000990106,"MANGA ND 130 GALLETA RECTA"
I040000990107,"MANGA ND 130 S 93-45"
I040000990108,"MANGA ND 140"
I040000990109,"MANGA ND 140 F"
I04000099011,"BOCAL BA 60 "
I040000990110,"MANGA ND 140 PASADA 78"
I040000990111,"MANGA ND 140 S 94-46"
I040000990112,"MANGA ND 150"
I040000990113,"MANGA ND 150 PASADA 78"
I040000990114,"MANGA ND 160"
I040000990115,"MANGA ND 160 F"
I040000990116,"MANGA ND 160 GALLETA 150"
I040000990117,"MANGA ND 160 S 21-22-23"
I040000990118,"MANGA ND 160 S 21-22-23 GALLETA CROMITA"
I040000990119,"MANGA ND 160 S 88-89 GALLETA FORMA"
I04000099012,"CANAL CD 60X50 "
I040000990120,"MANGA ND 180"
I040000990121,"MANGA ND 200"
I040000990122,"MANGA ND 220"
I040000990123,"MANGA ND 220 F"
I040000990124,"MANGA ND 230"
I040000990125,"MANGA ND 240"
I040000990126,"MANGA ND 260"
I040000990127,"MANGA ND 260 F"
I040000990128,"MANGA ND 280"
I040000990129,"MANGA ND 300 F"
I04000099013,"CANAL CD 60X25 "
I040000990130,"MANGA ND 360 F"
I040000990131,"MANGA ND 70"
I040000990132,"MANGA ND 70 H130 W"
I040000990133,"MANGA ND 80"
I040000990134,"MANGA ND 90"
I040000990135,"MANTA CERÁMICA"
I040000990136,"PEGAMENTO DE ALMAS"
I040000990137,"PIEDRA ESMERIL A11 "
I040000990138,"PIEDRA ESMERIL BASCULANTE "
I040000990139,"PIEDRA ESMERIL MUESTRA LAB"
I04000099014,"MALLA INOX CANALON"
I040000990140,"PINTURA ANTICORROSIVO GRIS "
