Codigo,Descripcion,Stock
P01054104007,ANILLO DESGASTE SSY 2999,0
P01020890448,Barra CF-11 O (Proy 27),17
P01020707008,BARRA DESGASTE 19,0
P01020707008,BARRA DESGASTE 19,22
P01020707010,BARRA DESGASTE 21,17
P01020707011,BARRA DESGASTE 22,3
P02020899012,BOSS MEDIUM BOS 24000,0
P01085799002,CARCAZA BOMBA GSG1500,0
O00000017003,CHAPA 765,0
P01010121009,CORAZA CONCAVA 13452,0
P01010121001,CORAZA DEFENSA 13170,0
P01010121002,CORAZA DEFENSA 13171 MO,0
P02020899002,DEFLECTOR PLATE DPL-27321 ,0
P02020899013,EDGE LINER EDG 32002,0
P01020736001,FEED DISCK 114778,0
P01020736001,FEED DISCK 114778,0
P01010437003,FORRO FRI 1145,0
P01010437003,FORRO FRI 1145,0
P00101043407,FORRO FRID 765,0
P00101043407,FORRO FRID 765,0
P01010137009,FORRO FRII 765,0
P01010137009,FORRO FRII 765,0
P01010437010,FORRO FRS 1145,0
P01010437010,FORRO FRS 1145,0
P01010137011,FORRO FRS 765,0
P01010137011,FORRO FRS 765,0
P01010137011,FORRO FRS 765,0
P01010137011,FORRO FRS 765,0
P01010137011,FORRO FRS 765,0
P01020839001,INNER CAP 99917,0
P01020840002,INSERTO 23021 R2,0
P01020840004,INSERTO 23022 R2,13
P01020840004,INSERTO 23022 R2,0
P01020840006,INSERTO 23023 R2,13
P01020840006,INSERTO 23023 R2,9
P01020840008,INSERTO 23240,0
P01020840008,INSERTO 23240,0
P01020840008,INSERTO 23240,0
P01020840008,INSERTO 23240,0
P01020840008,INSERTO 23240,0
P01020840008,INSERTO 23240,0
P01020840008,INSERTO 23240,0
P01020840009,INSERTO 23241,0
P01020840009,INSERTO 23241,0
P01020840009,INSERTO 23241,0
P01020840009,INSERTO 23241,0
P01020840009,INSERTO 23241,0
P01020840009,INSERTO 23241,0
P01020840030,INSERTO 23288,0
P01020840030,INSERTO 23288,0
P01020840031,INSERTO 23289,0
P01020840031,INSERTO 23289,0
P01020840015,INSERTO 233594,0
P01020840016,INSERTO 233595,0
P01020840016,INSERTO 233595,0
P01020840016,INSERTO 233595,0
P01020840024,INSERTO 234746,0
P01020840025,INSERTO 234747,0
P01020840025,INSERTO 234747,0
P01020840025,INSERTO 234747,0
P01020840032,INSERTO 23681,0
P01020840032,INSERTO 23681,0
P01010142001,LABIO LI 1145,0
P01010142001,LABIO LI 1145,0
P01010142003,LABIO LI 765,1
P01010142003,LABIO LI 765,0
P01010142005,LABIO LS 1145,0
P01010142005,LABIO LS 1145,0
P01010142007,LABIO LS 765,1
P01010142007,LABIO LS 765,0
P01043948001,"LLANTA 1,25 DIAM INT X 6 PISTAS X 3 ESP",0
P01043948001,"LLANTA 1,25 DIAM INT X 6 PISTAS X 3 ESP",0
P01010148001,"LLANTA 1,25 DIAM INT X 6 PISTAS X 3 ESP MN",0
P01010148001,"LLANTA 1,25 DIAM INT X 6 PISTAS X 3 ESP MN",0
