idmaterial,u_medida,f_aprov,leadtime,precio,abc,tipo,especificacion,idproducto,estado,detalle,caracteristica
337,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLACA DESGASTE OSS2932358-L",60
338,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA P4",61
339,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA P5",61
340,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA P12",61
341,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA P16",61
342,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA P17",61
343,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE 2410-CH-030-01-BD1",61
344,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE 2410-CH-038-01-BD1",61
345,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE 2410-CH-042-01-BD1",61
346,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE 2410-CH-044-01-BD1",61
347,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE 2410-CH-048-01-BD1",61
348,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE 2410-CH-054-01-BD1",61
349,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE 2410-CH-059-01-BD1",61
350,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE 2410-CH-061-01-BD1",61
351,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE 2410-CH-063-01-BD1",61
352,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P50",61
353,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE B13-1",61
354,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE B13-2",61
355,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE B14-1",61
356,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE B14-2",61
