idproducto,idmaterial,helper
1,1,NULL
2,2,NULL
3,3,NULL
4,4,NULL
5,5,NULL
6,6,NULL
7,7,NULL
8,8,NULL
9,9,NULL
10,10,NULL
11,11,NULL
12,12,NULL
13,13,NULL
14,14,NULL
15,15,NULL
16,16,NULL
17,17,NULL
18,18,NULL
19,19,NULL
20,20,NULL
21,21,NULL
22,22,NULL
23,23,NULL
24,24,NULL
25,25,NULL
26,26,NULL
27,27,NULL
28,28,NULL
29,29,NULL
30,30,NULL
31,31,NULL
32,32,NULL
33,33,NULL
34,34,NULL
35,35,NULL
36,36,NULL
37,37,NULL
38,38,NULL
39,39,NULL
40,40,NULL
41,41,NULL
42,42,NULL
43,43,NULL
44,44,NULL
45,45,NULL
46,46,NULL
47,47,NULL
48,48,NULL
49,49,NULL
50,50,NULL
51,51,NULL
52,52,NULL
53,53,NULL
54,54,NULL
55,55,NULL
56,56,NULL
57,57,NULL
58,58,NULL
59,59,NULL
60,60,NULL
61,61,NULL
62,62,NULL
63,63,NULL
64,64,NULL
65,2314,NULL
66,2316,NULL
67,2321,NULL
