numordenfabricacion,idordenproduccion,codigo,detalle,solicitados
5506,12881,P01020791001,"outer cap 99916",27
5506,12881,P01031784001,"tubo alimentación er 35",3
5525,12882,P01020850002,"lower flat linner 99911",9
5553,12883,P01020766003,"protector tapa canica er 36 c",15
5622,12884,P01010121001,"coraza cilindro n°1",6
5622,12884,P01010121009,"coraza concava 13452f",17
5622,12884,P01010121002,"coraza cilindro n°2",2
5731,12887,P01020766003,"protector tapa canica er 36 c",13
5757,12888,P01010160001,"placa pri 1145",4
5757,12888,P01010142005,"labio ls 1145",2
5757,12888,P01010437010,"forro frs 1145",10
5757,12888,P01010160005,"placa prs 1145",14
5757,12888,P01010437003,"forro fri 1145",8
5757,12888,P01010170001,"rotor 1145",5
5757,12888,P01010142001,"labio li 1145",2
5758,12889,P01010170003,"rotor 765",9
5758,12889,P01010142003,"labio li 765",2
5758,12889,P01010142007,"labio ls 765",2
5758,12889,P01010160007,"placa prs 765",16
5759,12890,P01043948002,"llanta 1,5' di x 6' alto x 3' ancho ",2
5759,12890,P01043975001,"solera para trapiche 2,04mt ext x 1500mm alto",2
5759,12890,P01043948001,"llanta 1,25' di x 6' pista x 3' esp",2
5759,12890,P01020707011,"barra desgaste 22",53
5759,12890,P01043948001,"llanta 1,25' di x 6' pista x 3' esp",2
5759,12890,P01020707010,"barra desgaste 21",120
5759,12890,P01020707008,"barra desgaste 19",44
5769,12885,P01020890448,"barra cf-11 o (proy 27)",16
5783,12891,P01020840016,"inserto 233595",48
5783,12891,P01020840016,"inserto 233595",48
5783,12891,P01020840025,"inserto 234747",168
5783,12891,P01020840025,"inserto 234747",168
5784,12892,P01020840025,"inserto 234747",120
5784,12892,P01020840016,"inserto 233595",60
5785,12893,P01020840008,"inserto 23240",192
5786,12894,P01020840008,"inserto 23240",240
5786,12894,P01020840009,"inserto 23241",960
5786,12894,P01020840008,"inserto 23240",48
5786,12894,P01020840009,"inserto 23241",192
5790,12895,P01020860042,"placa desgaste recta talon a2007",35
5809,12896,P01042780003,"tapa de sellado 765",2
5819,12898,P01020760007,"placa proteccion n°9003",4
5826,12899,P01010142005,"labio ls 1145",1
5826,12899,P01010437010,"forro frs 1145",4
5826,12899,P01010437003,"forro fri 1145",4
5826,12899,P01010142001,"labio li 1145",1
5830,12900,P01010160007,"placa prs 765",3
5831,12901,P01043948001,"llanta 1,25' di x 6' pista x 3' esp",6
5837,12902,P01010170001,"rotor 1145",2
5839,12903,P01043659001,"piñon 13 dientes",1
5843,12904,P01010160007,"placa prs 765",5
5845,12905,P01010170003,"rotor 765",1
5847,12906,P01020789002,"yunque anv 70000",20
5847,12906,P02020899003,"upper ramp liner url 32000 k2",20
5847,12906,P02020899009,"upper flat liner ufl 32400",6
5847,12906,P02020899002,"deflector plate dpl 27321",20
5848,12907,P01010160007,"placa prs 765",5
5849,12908,P01010160001,"placa pri 1145",2
5852,12909,P01010160007,"placa prs 765",5
5871,12913,P01020840008,"inserto 23240",48
5871,12913,P01020840009,"inserto 23241",192
5872,12914,P01020840032,"inserto 23681",48
5872,12914,P01020840008,"inserto 23240",48
5872,12914,P01020840009,"inserto 23241",144
5873,12915,P01020840008,"inserto 23240",48
5873,12915,P01020840009,"inserto 23241",144
5873,12915,P01020840032,"inserto 23681",48
5876,12910,P01020761072,"plancha desgaste p46",200
5876,12910,P01020761600,"plancha desgaste p79",50
5876,12910,P01020761599,"plancha desgaste p78",50
5876,12910,P01020761598,"plancha desgaste p77",60
5876,12910,P01020761072,"plancha desgaste p46",10
5876,12910,P01020761046,"plancha desgaste p25",10
5879,12916,P01020840015,"inserto 233594",112
5879,12916,P01020840024,"inserto 234746",504
5882,12917,P01043400001,"muñon marcy",4
5886,12919,P01010142003,"labio li 765",1
5886,12919,P01010142007,"labio ls 765",1
5887,12920,P01010160005,"placa prs 1145",5
5887,12920,P01010170001,"rotor 1145",1
5887,12920,P01010170001,"rotor 1145",1
5887,12920,P01010160001,"placa pri 1145",2
5888,12921,P01010170003,"rotor 765",1
5889,12922,P01043948002,"llanta 1,5' di x 6' alto x 3' ancho ",4
5892,12924,P01020860018,"placa desgaste  p65 (proy los colorados)",40
5892,12924,P01020860017,"placa desgaste  p64 (proy los colorados)",80
5892,12924,P01020761046,"plancha desgaste p25",50
5893,12925,P01043400001,"muñon marcy",3
5894,12926,P01020840030,"inserto tapa cd 23288",40
5894,12926,P01020840031,"inserto tapa cd 23289",16
5894,12926,P01020840031,"inserto tapa cd 23289",20
5894,12926,P01020840030,"inserto tapa cd 23288",32
5895,12927,P01043400001,"muñon marcy",2
5896,12928,P01010160005,"placa prs 1145",3
5897,12929,P01020791001,"outer cap 99916",6
5899,12931,P01020840008,"inserto 23240",192
5899,12931,P01020840009,"inserto 23241",288
5903,12935,P01010170003,"rotor 765",1
5904,12936,P01010170003,"rotor 765",2
5906,12938,P01020707008,"barra desgaste 19",60
5911,12942,P01010160007,"placa prs 765",2
5911,12942,P01010170003,"rotor 765",2
