idproducto,idmaterial,idaleacion,u_pedido,cod_proveedor,punto_pedido
1,65,1,NULL,NULL,NULL
2,66,1,NULL,NULL,NULL
3,67,2,NULL,NULL,NULL
4,68,11,NULL,NULL,NULL
5,69,13,NULL,NULL,NULL
6,70,13,NULL,NULL,NULL
7,71,16,NULL,NULL,NULL
8,1696,1,NULL,NULL,NULL
9,1697,1,NULL,NULL,NULL
10,1698,1,NULL,NULL,NULL
11,1699,3,NULL,NULL,NULL
12,1700,3,NULL,NULL,NULL
13,1701,3,NULL,NULL,NULL
14,1702,3,NULL,NULL,NULL
15,1703,3,NULL,NULL,NULL
16,1704,3,NULL,NULL,NULL
17,1705,3,NULL,NULL,NULL
18,1706,3,NULL,NULL,NULL
19,1707,3,NULL,NULL,NULL
20,1708,4,NULL,NULL,NULL
21,1709,4,NULL,NULL,NULL
22,1710,4,NULL,NULL,NULL
23,1711,4,NULL,NULL,NULL
24,1712,4,NULL,NULL,NULL
25,1713,4,NULL,NULL,NULL
26,1714,4,NULL,NULL,NULL
27,1715,5,NULL,NULL,NULL
28,1716,5,NULL,NULL,NULL
29,1717,7,NULL,NULL,NULL
30,1718,11,NULL,NULL,NULL
31,1719,11,NULL,NULL,NULL
32,1720,11,NULL,NULL,NULL
33,1721,11,NULL,NULL,NULL
34,1722,11,NULL,NULL,NULL
35,1723,11,NULL,NULL,NULL
36,1724,11,NULL,NULL,NULL
37,1725,11,NULL,NULL,NULL
38,1726,11,NULL,NULL,NULL
39,1727,11,NULL,NULL,NULL
40,1728,11,NULL,NULL,NULL
41,1729,11,NULL,NULL,NULL
42,1730,11,NULL,NULL,NULL
43,1731,11,NULL,NULL,NULL
44,1732,11,NULL,NULL,NULL
45,1733,11,NULL,NULL,NULL
46,1734,11,NULL,NULL,NULL
47,1735,11,NULL,NULL,NULL
48,1736,11,NULL,NULL,NULL
49,1737,11,NULL,NULL,NULL
50,1738,11,NULL,NULL,NULL
51,1739,11,NULL,NULL,NULL
52,1740,11,NULL,NULL,NULL
53,1741,11,NULL,NULL,NULL
54,1742,11,NULL,NULL,NULL
55,1743,11,NULL,NULL,NULL
56,1744,11,NULL,NULL,NULL
57,1745,11,NULL,NULL,NULL
58,1746,11,NULL,NULL,NULL
59,1747,11,NULL,NULL,NULL
60,1748,11,NULL,NULL,NULL
61,1749,11,NULL,NULL,NULL
62,1750,11,NULL,NULL,NULL
63,1751,11,NULL,NULL,NULL
64,1752,11,NULL,NULL,NULL
65,1753,11,NULL,NULL,NULL
66,1754,11,NULL,NULL,NULL
67,1755,11,NULL,NULL,NULL
68,1756,11,NULL,NULL,NULL
69,1757,11,NULL,NULL,NULL
70,1758,11,NULL,NULL,NULL
71,1759,11,NULL,NULL,NULL
72,1760,11,NULL,NULL,NULL
73,1761,11,NULL,NULL,NULL
74,1762,11,NULL,NULL,NULL
75,1763,11,NULL,NULL,NULL
76,1764,11,NULL,NULL,NULL
77,1765,11,NULL,NULL,NULL
78,1766,11,NULL,NULL,NULL
79,1767,11,NULL,NULL,NULL
80,1768,11,NULL,NULL,NULL
81,1769,11,NULL,NULL,NULL
82,1770,11,NULL,NULL,NULL
83,1771,11,NULL,NULL,NULL
84,1772,11,NULL,NULL,NULL
85,1773,11,NULL,NULL,NULL
86,1774,11,NULL,NULL,NULL
87,1775,11,NULL,NULL,NULL
88,1776,11,NULL,NULL,NULL
89,1777,11,NULL,NULL,NULL
90,1778,11,NULL,NULL,NULL
91,1779,11,NULL,NULL,NULL
92,1780,11,NULL,NULL,NULL
93,1781,11,NULL,NULL,NULL
94,1782,11,NULL,NULL,NULL
95,1783,11,NULL,NULL,NULL
96,1784,11,NULL,NULL,NULL
97,1785,11,NULL,NULL,NULL
98,1786,11,NULL,NULL,NULL
99,1787,11,NULL,NULL,NULL
100,1788,11,NULL,NULL,NULL
101,1789,11,NULL,NULL,NULL
102,1790,11,NULL,NULL,NULL
103,1791,11,NULL,NULL,NULL
104,1792,11,NULL,NULL,NULL
105,1793,11,NULL,NULL,NULL
106,1794,11,NULL,NULL,NULL
107,1795,11,NULL,NULL,NULL
108,1796,11,NULL,NULL,NULL
109,1797,11,NULL,NULL,NULL
110,1798,11,NULL,NULL,NULL
111,1799,11,NULL,NULL,NULL
112,1800,11,NULL,NULL,NULL
113,1801,11,NULL,NULL,NULL
114,1802,11,NULL,NULL,NULL
115,1803,11,NULL,NULL,NULL
116,1804,11,NULL,NULL,NULL
117,1805,11,NULL,NULL,NULL
118,1806,11,NULL,NULL,NULL
119,1807,11,NULL,NULL,NULL
120,1808,11,NULL,NULL,NULL
121,1809,11,NULL,NULL,NULL
122,1810,11,NULL,NULL,NULL
123,1811,11,NULL,NULL,NULL
124,1812,11,NULL,NULL,NULL
125,1813,11,NULL,NULL,NULL
126,1814,11,NULL,NULL,NULL
127,1815,11,NULL,NULL,NULL
128,1816,11,NULL,NULL,NULL
129,1817,11,NULL,NULL,NULL
130,1818,11,NULL,NULL,NULL
131,1819,11,NULL,NULL,NULL
132,1820,11,NULL,NULL,NULL
133,1821,11,NULL,NULL,NULL
134,1822,11,NULL,NULL,NULL
135,1823,11,NULL,NULL,NULL
136,1824,11,NULL,NULL,NULL
137,1825,11,NULL,NULL,NULL
138,1826,11,NULL,NULL,NULL
139,1827,11,NULL,NULL,NULL
140,1828,11,NULL,NULL,NULL
141,1829,11,NULL,NULL,NULL
142,1830,11,NULL,NULL,NULL
143,1831,11,NULL,NULL,NULL
144,1832,11,NULL,NULL,NULL
145,1833,11,NULL,NULL,NULL
146,1834,11,NULL,NULL,NULL
147,1835,11,NULL,NULL,NULL
148,1836,11,NULL,NULL,NULL
149,1837,11,NULL,NULL,NULL
150,1838,11,NULL,NULL,NULL
151,1839,11,NULL,NULL,NULL
152,1840,11,NULL,NULL,NULL
153,1841,11,NULL,NULL,NULL
154,1842,11,NULL,NULL,NULL
155,1843,11,NULL,NULL,NULL
156,1844,11,NULL,NULL,NULL
157,1845,11,NULL,NULL,NULL
158,1846,11,NULL,NULL,NULL
159,1847,11,NULL,NULL,NULL
160,1848,11,NULL,NULL,NULL
161,1849,11,NULL,NULL,NULL
162,1850,11,NULL,NULL,NULL
163,1851,11,NULL,NULL,NULL
164,1852,11,NULL,NULL,NULL
165,1853,11,NULL,NULL,NULL
166,1854,11,NULL,NULL,NULL
167,1855,11,NULL,NULL,NULL
168,1856,11,NULL,NULL,NULL
169,1857,11,NULL,NULL,NULL
170,1858,11,NULL,NULL,NULL
171,1859,11,NULL,NULL,NULL
172,1860,11,NULL,NULL,NULL
173,1861,11,NULL,NULL,NULL
174,1862,11,NULL,NULL,NULL
175,1863,11,NULL,NULL,NULL
176,1864,11,NULL,NULL,NULL
177,1865,11,NULL,NULL,NULL
178,1866,11,NULL,NULL,NULL
179,1867,11,NULL,NULL,NULL
180,1868,11,NULL,NULL,NULL
181,1869,11,NULL,NULL,NULL
182,1870,11,NULL,NULL,NULL
183,1871,11,NULL,NULL,NULL
184,1872,11,NULL,NULL,NULL
185,1873,11,NULL,NULL,NULL
186,1874,11,NULL,NULL,NULL
187,1875,11,NULL,NULL,NULL
188,1876,11,NULL,NULL,NULL
189,1877,11,NULL,NULL,NULL
190,1878,11,NULL,NULL,NULL
191,1879,11,NULL,NULL,NULL
