idproducto,idmaterial,u_pedido,cod_proveedor,punto_pedido
1,1,NULL,NULL,NULL
2,2,NULL,NULL,NULL
3,3,NULL,NULL,NULL
4,4,NULL,NULL,NULL
5,5,NULL,NULL,NULL
6,6,NULL,NULL,NULL
7,7,NULL,NULL,NULL
8,8,NULL,NULL,NULL
9,9,NULL,NULL,NULL
10,10,NULL,NULL,NULL
11,11,NULL,NULL,NULL
12,12,NULL,NULL,NULL
13,13,NULL,NULL,NULL
14,14,NULL,NULL,NULL
15,15,NULL,NULL,NULL
16,16,NULL,NULL,NULL
17,17,NULL,NULL,NULL
18,18,NULL,NULL,NULL
19,19,NULL,NULL,NULL
20,20,NULL,NULL,NULL
21,21,NULL,NULL,NULL
22,22,NULL,NULL,NULL
23,23,NULL,NULL,NULL
24,24,NULL,NULL,NULL
25,2316,NULL,NULL,NULL
