INSUMO,CODIGO,UNIDAD,PROVEEDOR,MONEDA,COSTO,EMBALAJE
ALMA BASE PERFORACION ROTOR 765,S01000099002,Un,SIDERVAL,,,Un
ALMA CENTRAL ROTOR 765,S01000099003,Un,SIDERVAL,,,
ALMA EQUILIBRADOR ROTOR 765,S01000099006,Un,PSM,,,
ALMA EXTREMO PRS 765,,Un,SIDERVAL,,,
ALMA OREJA PRS 765,,Un,SIDERVAL,,,
ALMA PERFORACION CANALON,S01000099001,Un,SIDERVAL,,,Un
ALMA PERFORACION FRID 765,,Un,SIDERVAL,,,
ALMA PERFORACION FRII 765,,Un,SIDERVAL,,,
ALMA PERFORACION FRS 765,,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23021 R2,,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23022 R2,,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23023 R2,,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23240 R0,,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23241 R0,,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23288 R1,,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23289 R0,,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 233595,,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 234747,,Un,SIDERVAL,,,
ALMA PERFORACION PLACA LP9,,Un,SIDERVAL,,,
ALMA PERFORACION PROY 27,,Un,SIDERVAL,,,
ALMA PERFORACION PROY 29,,Un,SIDERVAL,,,
ALMA PERFORACION PROY 39,,Un,SIDERVAL,,,
ALMA PERFORACION PROY 48,,Un,SIDERVAL,,,
ALMA PERFORACION PRS 765,,Un,SIDERVAL,,,
ALMA PERFORACION THROATBUSH,,Un,SIDERVAL,,,
ALMA PERFORACION YUNQUE ANV 7000,,Un,SIDERVAL,,,
ALMA PERNO CR ROTOR 765,S01000099004,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23021 R2,,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23240 R0,,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23241 R0,,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23022 R2,,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23023 R2,,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23288 R1,,Un,SIDERVAL,,,
